problem_idx,description,type,gold,question,question_orig,options,solved
0,JEE Adv 2016 Paper 1,MCQ,C,"Let $-\frac{\pi}{6}<\theta<-\frac{\pi}{12}$. Suppose $\alpha_{1}$ and $\beta_{1}$ are the roots of the equation $x^{2}-2 x \sec \theta+1=0$ and $\alpha_{2}$ and $\beta_{2}$ are the roots of the equation $x^{2}+2 x \tan \theta-1=0$. If $\alpha_{1}>\beta_{1}$ and $\alpha_{2}>\beta_{2}$, then $\alpha_{1}+\beta_{2}$ equals","Let $-\frac{\pi}{6}<\theta<-\frac{\pi}{12}$. Suppose $\alpha_{1}$ and $\beta_{1}$ are the roots of the equation $x^{2}-2 x \sec \theta+1=0$ and $\alpha_{2}$ and $\beta_{2}$ are the roots of the equation $x^{2}+2 x \tan \theta-1=0$. If $\alpha_{1}>\beta_{1}$ and $\alpha_{2}>\beta_{2}$, then $\alpha_{1}+\beta_{2}$ equals

(A) $2(\sec \theta-\tan \theta)$

(B) $2 \sec \theta$

(C) $-2 \tan \theta$

(D) 0","{""A"": ""$2(\\sec \\theta-\\tan \\theta)$"", ""B"": ""$2 \\sec \\theta$"", ""C"": ""$-2 \\tan \\theta$"", ""D"": ""0""}",no
1,JEE Adv 2016 Paper 1,MCQ,A,"A debate club consists of 6 girls and 4 boys. A team of 4 members is to be selected from this club including the selection of a captain (from among these 4 members) for the team. If the team has to include at most one boy, then the number of ways of selecting the team is","A debate club consists of 6 girls and 4 boys. A team of 4 members is to be selected from this club including the selection of a captain (from among these 4 members) for the team. If the team has to include at most one boy, then the number of ways of selecting the team is

(A) 380

(B) 320

(C) 260

(D) 95","{""A"": ""380"", ""B"": ""320"", ""C"": ""260"", ""D"": ""95""}",no
2,JEE Adv 2016 Paper 1,MCQ,C,"Let $S=\left\{x \in(-\pi, \pi): x \neq 0, \pm \frac{\pi}{2}\right\}$. The sum of all distinct solutions of the equation $\sqrt{3} \sec x+\operatorname{cosec} x+2(\tan x-\cot x)=0$ in the set $S$ is equal to","Let $S=\left\{x \in(-\pi, \pi): x \neq 0, \pm \frac{\pi}{2}\right\}$. The sum of all distinct solutions of the equation $\sqrt{3} \sec x+\operatorname{cosec} x+2(\tan x-\cot x)=0$ in the set $S$ is equal to

(A) $-\frac{7 \pi}{9}$

(B) $-\frac{2 \pi}{9}$

(C) 0

(D) $\frac{5 \pi}{9}$","{""A"": ""$-\\frac{7 \\pi}{9}$"", ""B"": ""$-\\frac{2 \\pi}{9}$"", ""C"": ""0"", ""D"": ""$\\frac{5 \\pi}{9}$""}",no
3,JEE Adv 2016 Paper 1,MCQ,C,"A computer producing factory has only two plants $T_{1}$ and $T_{2}$. Plant $T_{1}$ produces $20 \%$ and plant $T_{2}$ produces $80 \%$ of the total computers produced. $7 \%$ of computers produced in the factory turn out to be defective. It is known that

$P$ (computer turns out to be defective given that it is produced in plant $T_{1}$ )

$=10 P\left(\right.$ computer turns out to be defective given that it is produced in plant $\left.T_{2}\right)$,

where $P(E)$ denotes the probability of an event $E$. A computer produced in the factory is randomly selected and it does not turn out to be defective. Then the probability that it is produced in plant $T_{2}$ is","A computer producing factory has only two plants $T_{1}$ and $T_{2}$. Plant $T_{1}$ produces $20 \%$ and plant $T_{2}$ produces $80 \%$ of the total computers produced. $7 \%$ of computers produced in the factory turn out to be defective. It is known that

$P$ (computer turns out to be defective given that it is produced in plant $T_{1}$ )

$=10 P\left(\right.$ computer turns out to be defective given that it is produced in plant $\left.T_{2}\right)$,

where $P(E)$ denotes the probability of an event $E$. A computer produced in the factory is randomly selected and it does not turn out to be defective. Then the probability that it is produced in plant $T_{2}$ is

(A) $\frac{36}{73}$

(B) $\frac{47}{79}$

(C) $\frac{78}{93}$

(D) $\frac{75}{83}$","{""A"": ""$\\frac{36}{73}$"", ""B"": ""$\\frac{47}{79}$"", ""C"": ""$\\frac{78}{93}$"", ""D"": ""$\\frac{75}{83}$""}",no
4,JEE Adv 2016 Paper 1,MCQ,C,"The least value of $\alpha \in \mathbb{R}$ for which $4 \alpha x^{2}+\frac{1}{x} \geq 1$, for all $x>0$, is","The least value of $\alpha \in \mathbb{R}$ for which $4 \alpha x^{2}+\frac{1}{x} \geq 1$, for all $x>0$, is

(A) $\frac{1}{64}$

(B) $\frac{1}{32}$

(C) $\frac{1}{27}$

(D) $\frac{1}{25}$","{""A"": ""$\\frac{1}{64}$"", ""B"": ""$\\frac{1}{32}$"", ""C"": ""$\\frac{1}{27}$"", ""D"": ""$\\frac{1}{25}$""}",no
5,JEE Adv 2016 Paper 1,MCQ(multiple),BCD,"Consider a pyramid $O P Q R S$ located in the first octant $(x \geq 0, y \geq 0, z \geq 0)$ with $O$ as origin, and $O P$ and $O R$ along the $x$-axis and the $y$-axis, respectively. The base $O P Q R$ of the pyramid is a square with $O P=3$. The point $S$ is directly above the mid-point $T$ of diagonal $O Q$ such that $T S=3$. Then","Consider a pyramid $O P Q R S$ located in the first octant $(x \geq 0, y \geq 0, z \geq 0)$ with $O$ as origin, and $O P$ and $O R$ along the $x$-axis and the $y$-axis, respectively. The base $O P Q R$ of the pyramid is a square with $O P=3$. The point $S$ is directly above the mid-point $T$ of diagonal $O Q$ such that $T S=3$. Then

(A) the acute angle between $O Q$ and $O S$ is $\frac{\pi}{3}$

(B) the equation of the plane containing the triangle $O Q S$ is $x-y=0$

(C) the length of the perpendicular from $P$ to the plane containing the triangle $O Q S$ is $\frac{3}{\sqrt{2}}$

(D) the perpendicular distance from $O$ to the straight line containing $R S$ is $\sqrt{\frac{15}{2}}$","{""A"": ""the acute angle between $O Q$ and $O S$ is $\\frac{\\pi}{3}$"", ""B"": ""the equation of the plane containing the triangle $O Q S$ is $x-y=0$"", ""C"": ""the length of the perpendicular from $P$ to the plane containing the triangle $O Q S$ is $\\frac{3}{\\sqrt{2}}$"", ""D"": ""the perpendicular distance from $O$ to the straight line containing $R S$ is $\\sqrt{\\frac{15}{2}}$""}",no
6,JEE Adv 2016 Paper 1,MCQ(multiple),A,"Let $f:(0, \infty) \rightarrow \mathbb{R}$ be a differentiable function such that $f^{\prime}(x)=2-\frac{f(x)}{x}$ for all $x \in(0, \infty)$ and $f(1) \neq 1$. Then","Let $f:(0, \infty) \rightarrow \mathbb{R}$ be a differentiable function such that $f^{\prime}(x)=2-\frac{f(x)}{x}$ for all $x \in(0, \infty)$ and $f(1) \neq 1$. Then

(A) $\lim _{x \rightarrow 0+} f^{\prime}\left(\frac{1}{x}\right)=1$

(B) $\lim _{x \rightarrow 0+} x f\left(\frac{1}{x}\right)=2$

(C) $\lim _{x \rightarrow 0+} x^{2} f^{\prime}(x)=0$

(D) $|f(x)| \leq 2$ for all $x \in(0,2)$","{""A"": ""$\\lim _{x \\rightarrow 0+} f^{\\prime}\\left(\\frac{1}{x}\\right)=1$"", ""B"": ""$\\lim _{x \\rightarrow 0+} x f\\left(\\frac{1}{x}\\right)=2$"", ""C"": ""$\\lim _{x \\rightarrow 0+} x^{2} f^{\\prime}(x)=0$"", ""D"": ""$|f(x)| \\leq 2$ for all $x \\in(0,2)$""}",no
7,JEE Adv 2016 Paper 1,MCQ(multiple),BC,"Let $P=\left[\begin{array}{ccc}3 & -1 & -2 \\ 2 & 0 & \alpha \\ 3 & -5 & 0\end{array}\right]$, where $\alpha \in \mathbb{R}$. Suppose $Q=\left[q_{i j}\right]$ is a matrix such that $P Q=k I$, where $k \in \mathbb{R}, k \neq 0$ and $I$ is the identity matrix of order 3 . If $q_{23}=-\frac{k}{8}$ and $\operatorname{det}(Q)=\frac{k^{2}}{2}$, then","Let $P=\left[\begin{array}{ccc}3 & -1 & -2 \\ 2 & 0 & \alpha \\ 3 & -5 & 0\end{array}\right]$, where $\alpha \in \mathbb{R}$. Suppose $Q=\left[q_{i j}\right]$ is a matrix such that $P Q=k I$, where $k \in \mathbb{R}, k \neq 0$ and $I$ is the identity matrix of order 3 . If $q_{23}=-\frac{k}{8}$ and $\operatorname{det}(Q)=\frac{k^{2}}{2}$, then

(A) $\alpha=0, k=8$

(B) $4 \alpha-k+8=0$

(C) $\operatorname{det}(P \operatorname{adj}(Q))=2^{9}$

(D) $\operatorname{det}(Q \operatorname{adj}(P))=2^{13}$","{""A"": ""$\\alpha=0, k=8$"", ""B"": ""$4 \\alpha-k+8=0$"", ""C"": ""$\\operatorname{det}(P \\operatorname{adj}(Q))=2^{9}$"", ""D"": ""$\\operatorname{det}(Q \\operatorname{adj}(P))=2^{13}$""}",no
8,JEE Adv 2016 Paper 1,MCQ(multiple),ACD,"In a triangle $X Y Z$, let $x, y, z$ be the lengths of sides opposite to the angles $X, Y, Z$, respectively, and $2 s=x+y+z$. If $\frac{s-x}{4}=\frac{s-y}{3}=\frac{s-z}{2}$ and area of incircle of the triangle $X Y Z$ is $\frac{8 \pi}{3}$, then","In a triangle $X Y Z$, let $x, y, z$ be the lengths of sides opposite to the angles $X, Y, Z$, respectively, and $2 s=x+y+z$. If $\frac{s-x}{4}=\frac{s-y}{3}=\frac{s-z}{2}$ and area of incircle of the triangle $X Y Z$ is $\frac{8 \pi}{3}$, then

(A) area of the triangle $X Y Z$ is $6 \sqrt{6}$

(B) the radius of circumcircle of the triangle $X Y Z$ is $\frac{35}{6} \sqrt{6}$

(C) $\sin \frac{X}{2} \sin \frac{Y}{2} \sin \frac{Z}{2}=\frac{4}{35}$

(D) $\sin ^{2}\left(\frac{X+Y}{2}\right)=\frac{3}{5}$","{""A"": ""area of the triangle $X Y Z$ is $6 \\sqrt{6}$"", ""B"": ""the radius of circumcircle of the triangle $X Y Z$ is $\\frac{35}{6} \\sqrt{6}$"", ""C"": ""$\\sin \\frac{X}{2} \\sin \\frac{Y}{2} \\sin \\frac{Z}{2}=\\frac{4}{35}$"", ""D"": ""$\\sin ^{2}\\left(\\frac{X+Y}{2}\\right)=\\frac{3}{5}$""}",no
9,JEE Adv 2016 Paper 1,MCQ(multiple),AD,"A solution curve of the differential equation $\left(x^{2}+x y+4 x+2 y+4\right) \frac{d y}{d x}-y^{2}=0, x>0$, passes through the point $(1,3)$. Then the solution curve","A solution curve of the differential equation $\left(x^{2}+x y+4 x+2 y+4\right) \frac{d y}{d x}-y^{2}=0, x>0$, passes through the point $(1,3)$. Then the solution curve

(A) intersects $y=x+2$ exactly at one point

(B) intersects $y=x+2$ exactly at two points

(C) intersects $y=(x+2)^{2}$

(D) does NO'T intersect $y=(x+3)^{2}$","{""A"": ""intersects $y=x+2$ exactly at one point"", ""B"": ""intersects $y=x+2$ exactly at two points"", ""C"": ""intersects $y=(x+2)^{2}$"", ""D"": ""does NO'T intersect $y=(x+3)^{2}$""}",no
